Date,NTPC.NS,ONGC.NS,POWERGRID.NS,SBIN.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATAMTRDVR.NS,TATASTEEL.NS,TCS.NS,WIPRO.NS
2019-11-11,90.75580596923828,102.63023376464844,81.3051528930664,299.5509948730469,400.3226623535156,170.93809509277344,78.87580871582031,16.150327682495117,1923.848876953125,251.1753387451172
2019-11-13,90.79419708251953,101.9661865234375,80.24510955810547,288.77374267578125,391.34637451171875,169.54673767089844,77.68746185302734,16.00751304626465,1994.953857421875,247.89422607421875
2019-11-14,90.98606872558594,100.49056243896484,79.715087890625,288.0207824707031,389.6366271972656,166.01864624023438,75.90496826171875,15.768142700195312,2011.6190185546875,247.55145263671875
2019-11-15,90.06507110595703,100.010986328125,79.56670379638672,302.986572265625,394.24346923828125,167.5093994140625,77.48941802978516,15.87073040008545,1991.1534423828125,247.35556030273438
2019-11-18,90.14181518554688,98.7935562133789,80.83875274658203,305.99853515625,403.2671813964844,169.04981994628906,77.7864990234375,16.496305465698242,1971.1458740234375,244.3192901611328
2019-11-19,90.06507110595703,98.31399536132812,82.8740234375,310.98712158203125,404.549560546875,166.71434020996094,76.69718933105469,16.162397384643555,1931.037353515625,245.249755859375
2019-11-20,89.83483123779297,98.6460189819336,83.14962005615234,309.48114013671875,427.44140625,166.36648559570312,76.15253448486328,16.03969383239746,1930.808837890625,243.78062438964844
2019-11-21,88.49171447753906,96.76457214355469,83.23443603515625,311.8813171386719,424.7342834472656,163.1365509033203,74.61759948730469,15.492566108703613,1939.5538330078125,242.45838928222656
2019-11-22,90.41044616699219,98.75669860839844,84.27327728271484,309.9517517089844,429.4361877441406,161.34767150878906,73.7263412475586,16.09199333190918,1897.064697265625,238.09991455078125
2019-11-25,90.64069366455078,96.61699676513672,84.20966339111328,316.3522033691406,435.9428405761719,165.07452392578125,75.31079864501953,16.87647819519043,1906.0389404296875,238.001953125
2019-11-26,89.52783203125,96.10055541992188,82.42880249023438,315.7874755859375,428.1538391113281,162.39117431640625,73.28071594238281,17.063547134399414,1874.12646484375,232.66407775878906
2019-11-27,88.83708953857422,97.87129211425781,82.72561645507812,323.3644714355469,435.7528076171875,164.87574768066406,73.47877502441406,16.950904846191406,1881.1314697265625,235.11264038085938
2019-11-28,88.68358612060547,98.2402114868164,83.17082214355469,328.7766418457031,434.4229736328125,163.7825469970703,72.58753204345703,17.383377075195312,1902.238525390625,234.8677978515625
2019-11-29,89.29757690429688,97.207275390625,81.96238708496094,321.764404296875,427.2989501953125,160.50291442871094,70.65647888183594,17.198320388793945,1880.170166015625,232.8109893798828
2019-12-02,88.49171447753906,94.51423645019531,81.15675354003906,318.6112060546875,417.9427185058594,160.05569458007812,69.27008056640625,16.930788040161133,1850.6844482421875,233.69248962402344
2019-12-03,87.91609954833984,94.18222045898438,80.30870819091797,316.493408203125,411.8635559082031,157.22328186035156,66.00215911865234,16.077911376953125,1878.1097412109375,231.9294891357422
2019-12-04,88.10797882080078,95.9529800415039,79.88471221923828,321.764404296875,421.457275390625,168.35414123535156,69.56716918945312,16.466135025024414,1903.291259765625,237.2184295654297
2019-12-05,87.57073211669922,95.1044921875,79.41828918457031,316.44635009765625,414.80816650390625,165.07452392578125,68.62641143798828,16.083948135375977,1942.4840087890625,238.68759155273438
2019-12-06,86.45785522460938,93.3706283569336,79.1214828491211,301.1982116699219,407.1142272949219,160.50291442871094,67.2400131225586,16.222742080688477,1944.5899658203125,236.04310607910156
2019-12-09,86.49623107910156,93.1861801147461,79.69389343261719,298.0920715332031,405.594482421875,159.50909423828125,65.80410766601562,16.361534118652344,1886.762939453125,235.4554443359375
2019-12-10,84.42400360107422,92.37456512451172,77.48900604248047,294.9859924316406,406.2118225097656,158.7140350341797,64.8138198852539,16.17446517944336,1843.1756591796875,233.25172424316406
